halogen_lamp_2_I	halogen_lamp_2_lambda
1450045.333	330
1545600.321290323	332
1679572.813225806	334
1860132.549354839	336
2094033.652666666	338
2407558.823870968	340
2799261.378387097	342
3292957.119354839	344
3903218.969333333	346
4604557.319354838	348
5423600.116774192	350
6338667.661612903	352
7381452.095	354
8547369.857096775	356
9808746.045161294	358
11255909.50967742	360
12787880.01290322	362
14509629.85	364
16400367.76774194	366
18342707.70322581	368
20510711.13225807	370
22724303.10000001	372
25025899.08387097	374
27398193.97096774	376
29765142.02666666	378
32212359.82258064	380
34503980.86129032	382
36894029.9032258	384
39229064	386
41445479.36000001	388
43742578.74516129	390
45906678.46129031	392
47999079.20645162	394
50155745.50937499	396
52120969.01290324	398
54129482.33870967	400
56018568.72666668	402
57892753.40322582	404
59582489.02258065	406
61302183.23548388	408
62966016.47333334	410
64508894.26451612	412
66056239.42903224	414
67720006.47096772	416
69156326.81333333	418
70524634.1483871	420
71724536.31612903	422
73001696.15806451	424
74284275.02903226	426
75440803.00333333	428
76601000.82258067	430
77706654.00645161	432
78637325.38333334	434
79764655.14838709	436
80660424.40322581	438
81693676.46451613	440
82613537.56999999	442
83445688.95806453	444
84135011.61290321	446
85137993.07096775	448
85849434.06000002	450
86591750.65161288	452
87261941.70967743	454
87963430.99999999	456
88434605.25333333	458
89539020.86129031	460
90422656.05483872	462
90958855.72903225	464
91414973.72666664	466
91687895.50967743	468
91911132.216129	470
92055269.18387096	472
92024333.1032258	474
91782099.98666665	476
91466220.30967745	478
91673687.01290324	480
92500870.4766667	482
94171622.80967745	484
96897771.30322585	486
100399287.8108108	488
104542067.8055556	490
108690383.4571429	492
112575648.8571429	494
115788539.3611111	496
118187135.6571429	498
120086277.3611111	500
121085051.3529412	502
121421004.9444444	504
121306052.0571429	506
120980975.1176471	508
120425382.5142857	510
119863413	512
119222114.5	514
118518746.2777778	516
117871383.0571429	518
117278154.4285714	520
116719877.0857143	522
116188250.2	524
115723131.0625	526
115171634.5405405	528
114577170.2285714	530
114103208.4857143	532
113658303.3714286	534
113460587.4285714	536
113107170.9714286	538
112819719.4857143	540
112707424	542
112426450.3714286	544
112247179.0857143	546
112134376.8571429	548
112046503.2	550
111985093.6571429	552
112000764.2	554
112006968.8571429	556
112077027.1428571	558
112165068.6285714	560
112237736.7714286	562
112410595.0571429	564
112520994.2285714	566
112579453.6857143	568
112706389.9142857	570
112788503.7142857	572
112849541.1142857	574
112937084.1142857	576
113004562.5142857	578
113132775.8285714	580
113177632.0285714	582
113242094.1142857	584
113293577.2857143	586
113288575.4	588
113314308.2285714	590
113427928.6285714	592
113339520.8285714	594
113333709.8285714	596
112619173.1142857	598
112813067.1111111	600
112882749.1944444	602
112785035.1111111	604
112216959.0277778	606
112556804.7777778	608
112518261.6666667	610
112371268.6666667	612
112374167.3714286	614
112093288.5555556	616
112149120.6388889	618
112168431.8055556	620
112067748.4166667	622
111862146.9722222	624
111726380.3611111	626
111657862.1666667	628
111541225.6857143	630
111340167.6666667	632
111149233.25	634
110982809.75	636
110689250.3333333	638
110534562.8333333	640
110262761.1111111	642
109953964.7222222	644
109768963.75	646
109696216	648
1372904.87	
1372904.87	
1372904.87	
1372904.87	
1372904.87	
1372904.87	
1372904.87	
1372904.87	
1372904.87	
1372904.87	
1372904.87	
1372904.87	
1372904.87	
1372904.87	
1372904.87	
1372904.87	
1372904.87	
1372904.87	
1372904.87	
1372904.87	
